age,job,marital,education,default,balance,housing,loan,y
33,10,2,2,0,359,1,0,0
36,2,2,1,0,123,1,0,0
35,10,2,3,0,0,1,1,0
52,0,2,2,0,142,0,0,0
40,3,2,3,0,3571,0,0,0
44,10,1,2,0,33,1,0,0
45,2,1,2,0,0,1,0,0
30,9,1,2,0,3096,0,0,0
48,10,3,2,1,20,0,0,0
33,2,2,2,0,3576,1,0,0
57,10,2,0,0,206,1,0,0
57,4,2,1,0,7082,0,0,0
51,11,2,3,0,1634,1,0,0
34,1,1,2,0,1,1,0,0
50,7,2,3,0,4012,0,0,0
44,5,2,3,0,3762,0,0,0
27,1,2,2,0,-247,1,1,0
50,2,2,2,0,606,1,0,0
36,5,2,3,0,0,1,0,0
42,5,2,2,0,-189,1,0,0
32,11,1,2,0,0,0,0,0
42,5,2,3,0,484,1,0,0
43,10,2,2,0,0,0,1,0
31,5,2,3,0,395,1,0,0
32,5,2,3,0,2349,0,0,0
55,2,3,1,0,410,0,1,0
58,6,2,1,0,3401,1,0,0
46,2,2,1,0,222,0,0,0
55,2,2,2,0,989,1,1,0
34,5,2,3,0,415,0,1,0
28,11,1,2,0,16,0,0,0
42,10,3,3,0,7190,1,0,0
29,2,1,2,0,482,0,1,1
54,4,2,2,0,209,1,1,0
32,10,1,2,0,0,0,0,0
39,10,1,3,0,5803,0,0,0
53,3,2,3,0,624,0,1,0
58,10,2,3,0,883,0,0,0
40,7,2,2,0,1516,1,1,0
29,9,1,2,0,872,1,0,0
33,10,2,3,0,-988,1,1,0
38,1,1,2,0,902,1,0,0
56,8,3,2,0,1007,0,0,0
40,8,2,2,0,0,1,0,0
24,2,1,2,0,174,1,1,1
46,5,2,2,0,12186,0,0,0
35,7,2,2,0,524,1,0,0
35,2,1,3,0,0,1,0,0
34,10,2,2,0,4,1,0,0
35,4,2,3,0,11219,0,0,0
38,10,1,3,0,0,0,0,0
50,2,2,1,0,5776,0,0,0
51,2,3,1,0,37,1,0,0
59,7,2,3,0,593,0,0,0
32,2,2,2,0,1148,1,0,0
37,2,1,2,0,3561,1,0,0
42,1,3,2,0,63,0,0,0
40,9,2,2,0,260,0,0,0
28,10,1,3,0,2269,1,0,0
47,1,2,2,0,1060,1,0,0
27,7,2,2,0,-220,1,0,0
41,5,2,3,0,49,1,0,0
34,1,2,3,0,69,0,1,1
50,2,2,1,0,4108,1,0,1
47,2,2,2,0,480,1,0,0
53,8,2,2,0,4994,0,0,0
53,10,3,2,0,0,1,1,0
47,5,2,3,0,3681,0,0,0
49,3,3,0,1,-701,1,0,1
29,5,2,3,0,451,0,0,0
45,2,3,1,0,-311,1,0,1
38,3,2,2,0,593,1,1,1
32,2,2,2,0,759,1,0,1
70,6,3,1,0,4531,0,0,0
65,6,3,1,0,1840,0,0,0
56,2,2,2,0,345,1,0,0
35,2,2,2,0,1287,1,0,0
56,5,2,0,0,353,0,1,0
56,10,2,2,0,205,0,1,0
49,3,2,2,0,687,1,0,1
38,11,2,1,0,1147,1,1,0
35,5,2,3,0,4286,1,0,0
38,1,2,3,0,605,0,0,0
49,2,2,2,0,8545,1,1,0
55,5,2,0,0,559,0,0,0
43,2,1,1,0,2,1,0,0
43,5,2,3,0,2,0,1,0
25,1,1,3,0,760,1,0,1
30,2,2,1,0,1317,1,0,0
46,2,2,2,0,182,0,0,0
50,1,2,1,0,276,0,1,0
35,3,2,2,0,2971,0,0,1
26,11,1,2,0,1064,0,0,0
45,1,2,0,0,1783,0,0,0
37,2,2,2,0,-67,0,0,0
60,7,1,3,0,179,0,1,0
38,5,2,3,0,1199,0,0,1
47,2,2,1,0,214,1,1,0
33,10,2,2,0,6699,0,0,0
51,11,2,2,0,1760,0,1,0
35,3,1,3,0,145,1,0,1
35,11,2,2,0,978,0,0,1
48,1,1,2,0,1150,1,0,0
37,1,2,2,0,121,0,0,0
29,10,1,3,0,828,1,0,0
34,1,2,2,0,244,1,0,0
32,8,2,1,0,228,1,0,1
30,5,1,3,0,424,0,0,1
47,5,3,3,0,447,0,1,0
33,2,2,1,0,-195,0,0,0
33,5,1,3,0,1410,1,0,0
63,6,2,1,0,1084,0,0,0
51,7,3,1,0,10924,0,0,0
41,5,2,3,0,832,1,1,0
56,6,2,3,0,478,0,0,0
60,5,1,3,0,0,0,1,0
41,7,1,3,0,3950,1,0,0
37,5,1,0,0,504,1,0,0
36,2,1,2,0,219,1,1,0
57,5,2,3,0,1602,0,0,0
55,5,2,1,0,2587,0,0,1
44,1,2,2,0,0,1,1,0
47,7,2,3,0,2303,1,0,0
31,2,2,2,0,1660,1,0,0
35,5,2,3,1,32,1,0,0
39,5,2,3,0,278,0,1,0
50,5,2,3,0,4,0,0,0
29,5,2,3,0,318,1,0,0
30,8,1,2,0,209,1,0,0
46,8,2,2,0,271,1,0,0
27,5,1,0,0,3196,0,0,0
48,1,3,2,0,4099,0,0,1
26,9,1,2,0,2572,1,0,0
36,5,1,3,0,339,0,0,0
42,2,2,1,0,0,1,1,0
50,4,2,1,0,395,1,0,0
49,2,2,2,0,2039,1,0,0
45,5,2,3,0,5450,0,0,0
23,9,1,2,0,780,0,0,0
38,10,1,2,0,0,1,0,0
32,5,1,3,0,8436,1,0,0
60,10,1,1,0,11262,0,0,1
30,3,2,2,0,946,1,0,0
58,4,2,3,0,497,0,0,0
60,6,2,1,0,55,0,0,0
38,8,2,2,0,-140,0,0,0
51,10,2,2,0,-379,1,0,0
42,1,2,2,0,-396,1,0,0
30,8,1,2,0,0,1,0,0
40,5,2,1,0,733,1,0,0
37,5,2,3,0,393,1,0,1
53,10,3,1,0,7290,1,0,0
27,8,1,2,0,468,1,0,0
39,2,2,2,0,0,1,0,0
39,2,2,1,0,3705,1,0,0
59,6,2,3,0,9676,0,0,1
37,8,2,2,0,1328,1,0,0
41,2,2,1,0,8,1,0,0
45,2,2,1,0,61,0,0,0
48,5,2,3,0,6613,0,0,0
48,10,2,2,0,302,1,0,0
32,2,2,2,0,1005,0,0,0
35,8,2,2,0,109,1,0,0
33,5,1,3,0,1240,1,0,0
28,2,1,1,0,0,1,1,0
64,6,2,0,0,2923,0,0,0
35,10,2,2,0,0,0,0,0
33,2,2,2,0,43,1,0,0
41,10,2,2,0,288,1,0,0
34,1,2,2,0,613,1,0,0
37,10,1,3,0,6101,0,0,0
38,2,2,1,0,168,1,1,0
39,2,2,1,0,7685,1,0,0
35,10,3,3,0,4515,1,0,0
28,2,1,2,0,517,0,1,1
27,2,1,2,0,148,0,0,0
48,6,2,1,1,-285,0,1,0
50,2,2,2,0,887,0,0,0
45,7,2,2,0,3098,1,0,0
41,10,2,3,0,744,1,0,0
39,10,2,2,0,130,0,0,0
44,5,2,2,0,438,1,0,0
54,1,2,2,0,0,0,0,1
49,5,2,3,0,322,0,0,0
34,2,1,2,0,186,0,0,0
75,6,3,3,0,3810,1,0,1
42,5,2,3,0,0,0,0,0
53,2,2,2,0,4380,0,0,0
49,5,3,3,0,755,0,0,1
31,8,1,2,0,2070,0,0,0
45,2,1,1,0,999,0,0,0
39,7,2,2,0,167,1,1,0
46,10,2,2,0,1322,1,1,0
42,1,3,2,0,1076,1,0,0
37,5,2,3,0,502,1,0,0
26,10,1,3,0,1216,1,0,0
37,5,1,3,0,876,1,0,0
36,8,1,2,0,342,1,0,0
29,2,1,1,0,950,1,0,0
36,2,2,1,0,973,1,1,0
26,10,2,3,0,3825,1,0,0
32,2,2,2,0,2366,1,0,0
40,5,2,3,0,542,1,0,0
53,5,2,1,0,995,0,0,0
29,5,2,3,0,20,1,0,0
34,10,1,3,0,228,1,0,0
43,2,2,2,0,130,0,0,0
56,5,2,3,0,217,0,1,0
55,3,3,3,0,0,0,0,0
31,7,2,3,0,259,1,0,0
27,1,1,2,0,619,1,0,0
36,5,2,2,0,644,1,0,0
44,5,2,3,0,22,1,0,0
37,1,3,3,0,4303,1,0,0
30,1,1,2,0,239,1,0,0
42,10,1,2,0,275,0,0,0
30,5,2,3,0,1221,1,0,1
62,6,2,2,0,816,0,0,0
24,2,2,2,0,1222,1,0,0
31,10,2,2,0,2363,1,0,0
66,6,2,3,0,2262,0,0,0
47,1,2,2,0,2,0,0,0
39,3,2,3,0,2,1,0,0
35,10,2,2,0,4508,1,0,1
35,1,3,2,0,-402,1,0,0
27,10,2,2,0,1577,1,1,0
32,2,2,2,0,34,1,0,0
44,5,2,3,0,795,0,0,0
42,2,2,2,0,117,1,0,0
34,7,1,3,0,5462,0,0,1
25,8,1,2,0,402,0,1,0
40,10,1,2,0,641,0,0,0
43,5,3,3,0,36,0,0,0
55,11,2,3,0,383,0,0,0
50,2,2,2,0,283,1,0,0
45,5,3,3,0,0,0,0,0
35,2,3,2,0,3102,1,0,0
32,2,2,2,0,889,1,0,1
59,4,2,2,0,0,0,0,0
34,7,2,2,0,-370,1,0,0
39,5,2,3,0,-606,1,0,0
40,5,1,2,0,10378,1,0,0
36,2,1,1,0,1313,1,0,0
40,5,2,3,0,8969,1,0,0
55,7,2,2,0,-196,1,0,0
38,3,2,2,1,15,1,0,0
61,1,2,2,0,4608,0,0,1
41,5,2,3,0,666,1,0,0
57,2,2,1,0,452,1,0,0
48,2,2,2,0,149,1,0,0
77,6,2,3,0,7802,0,0,1
35,8,2,2,0,1453,1,0,0
54,2,2,2,0,1480,1,0,0
37,5,1,0,0,715,1,0,0
56,5,1,2,0,237,1,0,0
40,10,2,2,0,694,1,0,0
40,5,2,3,0,0,0,0,0
54,5,2,3,0,55,1,0,0
55,4,2,1,0,136,1,0,0
55,8,3,2,1,-404,1,0,0
52,2,2,1,0,779,1,0,0
55,2,1,1,0,1187,1,0,0
33,5,2,3,0,641,1,0,0
52,2,2,0,0,826,1,0,0
33,8,3,2,0,991,1,0,0
53,1,2,2,0,1796,0,0,1
46,1,2,2,0,22,0,0,1
44,10,1,2,0,244,1,0,1
48,5,3,3,0,1328,1,0,0
50,4,2,2,0,7317,1,0,0
34,10,1,2,0,4943,1,1,0
38,10,1,2,0,258,0,1,0
42,5,1,3,0,515,1,0,0
32,5,1,3,0,12607,0,0,0
58,1,2,2,0,2,1,1,0
31,5,2,3,0,13,0,0,0
19,9,1,1,0,103,0,0,1
41,5,2,3,0,3872,0,0,0
31,11,2,2,0,296,1,0,0
52,7,1,1,0,217,0,1,0
42,7,3,3,0,360,1,0,0
41,2,1,2,0,428,1,0,0
30,2,1,2,0,315,0,0,1
38,2,2,2,0,121,1,1,0
32,5,2,3,0,820,1,0,0
52,10,2,2,0,195,1,0,1
48,5,3,3,0,108,1,0,0
36,5,2,3,0,-381,1,0,0
45,11,3,1,0,757,0,0,0
34,10,2,3,0,691,1,1,0
36,2,2,1,0,1925,1,0,1
34,5,2,3,0,902,1,0,0
61,6,2,2,0,5207,0,0,0
54,8,2,2,0,0,0,0,0
50,3,2,2,0,665,0,0,0
43,1,3,2,0,738,1,0,0
47,2,2,1,0,233,0,0,0
45,8,2,2,0,-839,1,0,0
57,6,2,1,0,5799,0,0,0
27,1,2,2,0,1033,1,0,0
49,11,3,2,0,66,0,0,0
43,8,2,1,0,2567,1,0,0
40,5,2,3,0,1584,1,0,0
32,8,1,2,0,182,1,0,0
58,5,2,1,0,76,1,0,0
34,1,1,2,0,663,1,0,0
46,10,3,2,0,3455,1,0,0
29,2,2,2,0,15,0,0,0
52,2,2,1,0,1054,0,0,0
45,5,2,3,0,1529,0,0,0
26,5,1,2,0,63,0,0,0
40,10,2,3,0,0,0,0,0
41,1,2,2,0,920,1,1,0
47,1,1,2,0,3696,0,0,1
27,10,1,0,0,59,0,0,0
27,8,2,2,0,0,1,0,0
48,2,2,2,0,157,1,0,0
49,1,2,2,0,2465,0,0,0
35,2,2,1,0,0,1,0,0
47,7,2,2,1,2,0,0,0
54,5,2,3,0,0,0,0,0
39,5,1,3,0,12437,0,0,0
28,9,1,2,0,378,1,0,0
54,2,2,1,0,211,0,0,0
34,10,2,2,0,-228,1,0,0
63,6,2,2,0,2747,0,0,0
42,7,2,3,0,1932,1,0,0
43,10,1,2,0,11269,0,0,0
37,1,2,2,0,1314,1,0,0
55,2,2,1,0,2275,0,0,0
43,5,1,3,0,1304,0,0,1
41,2,2,2,1,720,0,1,1
47,10,3,2,0,2914,1,0,0
34,10,2,2,0,1464,1,0,0
28,9,1,2,0,11555,0,0,0
36,8,2,2,0,-302,1,0,0
50,10,2,2,0,2497,1,0,0
35,2,2,2,0,-339,1,0,0
40,10,2,2,0,56,1,1,0
26,7,1,3,0,211,0,0,0
36,5,3,3,0,3611,1,0,0
59,11,2,1,0,0,0,0,0
28,9,1,2,0,459,0,0,0
46,3,2,0,0,242,1,0,0
50,7,2,2,0,1138,0,0,0
53,5,2,3,0,1319,1,0,0
81,6,2,2,0,1,0,0,0
35,8,3,2,0,67,1,0,0
58,6,2,0,0,937,0,0,0
44,8,2,2,0,0,1,1,0
38,5,2,3,0,-558,1,0,0
49,2,2,2,0,171,0,0,0
33,10,1,3,0,696,0,1,0
29,5,2,3,0,361,1,1,0
28,10,1,2,0,227,0,0,1
31,1,2,2,0,236,1,1,0
33,5,1,3,0,-53,0,0,0
52,10,2,2,0,192,1,0,0
43,5,3,3,0,38,1,0,0
32,7,1,2,0,518,1,0,0
36,7,2,3,0,16,1,1,0
41,2,2,2,0,-256,1,0,0
43,2,2,2,0,105,0,1,0
45,7,2,3,0,334,0,0,0
39,10,2,2,0,1048,0,1,0
41,8,2,2,0,108,1,1,0
31,10,2,2,0,660,0,0,0
37,11,1,3,1,0,1,0,0
28,3,2,0,0,1034,0,0,0
47,4,2,1,0,201,1,0,0
37,4,2,1,0,189,0,0,0
60,6,3,0,0,-49,1,0,0
43,10,3,2,0,1413,1,0,0
58,6,3,3,0,264,1,1,0
52,3,2,3,0,54,1,1,0
50,2,2,1,0,12519,1,0,0
32,8,1,2,0,2881,0,0,1
42,2,2,1,0,0,1,0,0
31,1,2,2,0,88,1,1,0
28,2,2,2,0,1020,1,0,0
36,10,3,3,0,119,0,0,0
51,11,1,3,0,1594,0,0,0
46,10,2,3,0,342,1,1,0
50,8,1,2,0,72,0,0,0
32,2,2,2,0,14,1,0,0
26,3,1,3,0,81,0,0,0
41,7,2,3,0,231,0,0,1
39,10,2,3,0,1161,1,0,0
31,2,2,2,0,-45,1,0,0
28,5,1,3,0,231,1,1,0
31,5,1,2,0,36,0,0,0
30,10,2,3,0,1570,1,0,0
35,10,2,3,0,7050,0,0,1
33,2,2,1,0,3704,1,0,0
30,10,1,3,0,6619,1,0,0
32,2,1,2,0,-84,1,0,0
40,5,1,3,0,1509,0,0,0
31,7,2,3,0,1134,0,0,0
36,10,2,2,0,146,1,1,0
33,5,1,3,0,9449,1,0,0
57,6,2,2,0,374,1,1,0
45,10,2,2,0,88,0,0,0
59,5,2,3,0,2764,0,0,0
30,5,1,3,0,2,1,1,1
33,10,2,3,0,8023,0,0,0
52,2,2,2,0,289,1,0,0
83,6,2,2,0,0,0,0,0
58,7,3,3,0,1382,0,0,1
33,5,3,3,1,280,0,1,0
41,2,3,1,0,2195,1,0,0
31,7,2,2,0,33,0,0,0
35,2,3,2,0,275,0,1,0
27,5,1,3,0,703,1,0,1
57,1,3,0,0,887,0,0,0
56,0,2,0,0,0,0,0,0
53,1,1,2,0,1178,1,0,0
39,5,2,3,0,2763,1,0,1
32,3,1,3,0,890,1,1,0
46,7,2,2,0,548,0,0,1
56,10,2,3,0,272,0,0,0
46,5,3,3,0,6269,1,0,0
29,3,2,2,0,178,1,0,0
60,5,2,1,0,252,1,1,0
33,4,1,3,0,23663,1,0,0
27,3,1,3,0,81,0,0,0
50,7,3,3,0,59,1,0,0
45,8,2,2,0,1343,0,1,0
58,6,2,2,0,225,0,0,0
59,6,2,1,0,0,1,0,0
58,6,3,1,0,2538,1,0,0
64,6,2,1,0,43,0,0,0
47,10,2,2,0,57,0,0,0
40,5,2,3,0,-117,1,0,0
36,10,3,2,0,666,1,1,0
28,5,1,3,0,0,1,0,1
38,10,1,3,0,25,1,0,1
53,3,2,1,0,1034,1,0,0
46,2,1,2,0,324,1,0,0
54,10,2,2,0,0,0,0,0
32,5,2,3,0,0,0,0,0
55,5,2,1,0,621,0,1,0
55,6,3,2,0,138,0,0,0
56,10,2,2,0,4063,0,1,0
40,2,2,2,0,11084,0,0,0
44,10,2,2,0,310,1,0,0
32,3,2,0,0,73,1,0,0
33,5,2,3,0,1808,1,0,0
41,11,3,2,0,1281,0,0,0
37,10,2,2,0,64,1,0,0
58,5,1,3,0,2,1,0,0
52,2,2,2,0,60,0,1,0
49,8,1,2,0,133,0,0,0
44,4,2,1,0,3706,0,0,0
28,1,1,0,0,174,0,0,0
31,10,2,2,0,251,0,1,0
37,7,2,2,0,4153,1,0,0
30,10,1,3,0,985,1,0,0
28,8,1,2,0,168,0,0,1
46,8,2,2,0,1550,1,0,0
47,5,2,3,0,7708,1,0,0
35,2,2,1,0,-12,1,0,0
80,5,2,1,0,6483,0,0,0
30,10,1,3,0,60,1,1,0
55,10,1,2,0,3339,1,0,0
22,9,1,3,0,1161,0,1,0
33,2,1,1,0,599,1,0,0
53,3,2,0,0,28,0,0,0
49,5,2,3,0,1430,0,0,0
51,6,2,2,0,35,0,1,0
41,7,2,3,0,6000,1,0,0
34,10,2,2,0,0,1,0,0
36,2,1,2,0,340,0,1,0
35,3,2,3,0,0,0,0,0
29,8,2,2,0,3,1,0,0
40,10,1,3,0,445,1,0,0
32,5,3,3,0,874,0,0,1
48,2,2,2,0,705,0,0,0
59,6,2,0,0,1033,0,0,1
35,7,3,3,0,1354,1,0,1
33,10,1,3,0,123,0,0,0
55,6,2,1,0,8894,0,0,0
41,2,2,2,0,429,1,0,0
42,4,2,1,0,14752,0,0,0
46,2,2,1,0,67,0,0,0
35,4,3,2,0,39,0,0,0
28,10,1,3,0,102,0,0,0
25,9,1,2,0,1790,0,0,0
56,5,1,3,0,15311,0,0,0
30,1,1,2,0,-635,0,0,0
45,2,2,2,0,115,0,0,0
40,5,2,3,0,10786,0,0,0
40,2,2,2,0,498,1,0,0
39,2,2,2,0,1045,1,1,0
48,3,2,3,0,810,0,0,0
31,10,1,3,0,-162,1,0,0
32,5,2,3,0,55,0,0,0
34,8,2,2,0,586,1,1,0
26,10,1,2,0,455,0,0,0
31,5,2,3,0,1010,1,0,0
37,5,1,3,0,509,1,0,0
29,9,1,0,0,2929,0,0,0
57,10,2,2,0,3071,1,1,0
47,5,1,3,0,153,1,0,0
38,7,1,2,0,1146,1,0,0
48,2,2,1,0,1092,0,1,0
50,5,2,3,0,3463,0,1,1
33,1,2,2,0,1158,1,0,0
28,1,1,2,0,26,1,0,0
30,8,1,2,0,566,0,0,0
52,10,3,2,0,204,0,0,0
36,10,2,2,0,480,0,0,1
36,10,1,2,0,1855,1,0,0
46,8,2,2,0,1034,0,0,0
57,5,2,3,0,3250,0,0,0
28,5,1,2,0,1633,0,0,1
46,8,2,2,0,0,1,0,0
55,6,2,1,0,3334,0,0,1
33,5,2,3,0,4020,1,1,0
53,5,2,2,0,66,0,1,0
41,10,1,2,0,-41,1,1,0
60,2,2,2,0,322,1,0,0
35,3,2,1,0,2643,0,1,0
43,2,3,1,0,49,1,0,0
57,1,3,1,0,1,0,0,0
46,1,2,2,0,3098,1,0,0
31,2,2,1,0,352,1,0,0
53,10,2,2,0,65,0,0,0
35,2,2,2,0,1949,1,0,0
32,1,1,2,0,739,1,0,0
48,5,2,3,0,1167,1,1,1
